glottocode;iso_code;wals_code;language;genus;family;longitude;latitude;area;continent;macroarea;macrocontinent.3;macrocontinent.4;circumpacific
nami1256;nnm;nam;Namia;Yellow River;Sepik;141,75;-3,83333;N_Coast_New_Guinea;NG_&_Oceania;Papunesia;pac;pac;yes
nana1257;gld;nai;Nanai;Tungusic;Altaic;137;49,5;N_Coast_Asia;NC_Asia;Eurasia;ow;eur;yes
nara1262;nrb;nar;Nara (in Ethiopia);Nara;Nilo-Saharan;37,58333;15,08333;Greater_Abyssinia;Africa;Africa;ow;afr;no
naas1242;nas;nas;Nasioi;East Bougainville;East Bougainville;155,58333;-6,33333;Oceania;NG_&_Oceania;Papunesia;pac;pac;yes
natc1249;ncz;nat;Natchez;Natchez;Natchez;-91,33333;31,75;E_North_America;E_N_America;North America;nw;nw;yes
nava1243;nav;nav;Navajo;Athapaskan;Na-Dene;-108;36,16667;Basin_and_Plains;E_N_America;North America;nw;nw;yes
naxi1245;nbf;nax;Naxi;Naxi;Sino-Tibetan;100;27,5;Southeast_Asia;S_&_SE_Asia;Eurasia;ow;eur;no
sout2808;nbl;ndb;Ndebele (in South Africa);Bantoid;Niger-Congo;29;-25,33333;S_Africa;Africa;Africa;ow;afr;no
djee1236;djj;ndj;Ndjébbana;Ndjébbana;Australian;134,11667;-12,16667;N_Australia;Australia;Australia;pac;pac;yes
ndog1248;ndz;ndg;Ndogo;Ubangi;Niger-Congo;27;7,75;African_Savannah;Africa;Africa;ow;afr;no
nend1239;anh;nnd;Nend;Madang;Trans-New Guinea;144,91667;-5;N_Coast_New_Guinea;NG_&_Oceania;Papunesia;pac;pac;yes
nene1249;yrk;nen;Nenets;Samoyedic;Uralic;72;69;Inner_Asia;NC_Asia;Eurasia;ow;eur;no
nepa1254;nep;nep;Nepali;Indic;Indo-European;85;28;Indic;S_&_SE_Asia;Eurasia;ow;eur;no
newa1246;new;new;Newari (Kathmandu);Mahakiranti;Sino-Tibetan;85,5;27,66667;Indic;S_&_SE_Asia;Eurasia;ow;eur;no
nezp1238;nez;nez;Nez Perce;Sahaptian;Penutian;-116;46;Basin_and_Plains;E_N_America;North America;nw;nw;yes
ngaa1240;ntj;wdo;Ngaanyatjarra/Western Desert (Ooldea);Pama-Nyungan;Australian;132;-30,5;S_Australia;Australia;Australia;pac;pac;yes
ngab1239;gym;nbr;Ngäbere;Guaymi;Chibchan;-82;8,66667;Mesoamerica;C_America;North America;nw;nw;yes
ngad1261;nxg;ngd;Ngad'a;Central Malayo-Polynesian;Austronesian;121;-8,83333;Oceania;NG_&_Oceania;Papunesia;pac;pac;yes
ngal1293;nig;ngl;Ngalakan;Ngalakan;Australian;134;-14,25;N_Australia;Australia;Australia;pac;pac;yes
ngan1295;nid;ngn;Ngandi;Ngandi;Australian;135;-13,83333;N_Australia;Australia;Australia;pac;pac;yes
ngan1299;gng;;Ngangam;Gur;Niger-Congo;0,71;10,25;African_Savannah;Africa;Africa;ow;afr;no
nang1259;nam;ngg;Ngan'gityemerri;Southern Daly;Australian;130,41667;-14,25;N_Australia;Australia;Australia;pac;pac;yes
ngar1286;nlr;nlr;Ngarla;Pama-Nyungan;Australian;119;-20;S_Australia;Australia;Australia;pac;pac;yes
ngba1285;nga;ngb;Ngbaka (Minagende);Gbaya-Manza-Ngbaka;Niger-Congo;20;3,5;S_Africa;Africa;Africa;ow;afr;no
ngit1239;niy;nti;Ngiti;Lendu;Nilo-Saharan;30,25;1,33333;S_Africa;Africa;Africa;ow;afr;no
nhan1238;nha;nha;Nhanda;Pama-Nyungan;Australian;114,16667;-27;S_Australia;Australia;Australia;pac;pac;yes
nhen1239;yrl;;Nhengatu;Tupi-Guaraní;Tupian;-66,96;1,05;NE_South_America;S_America;South America;nw;nw;yes
nias1242;nia;nia;Nias;Northwest Sumatra-Barrier Islands;Austronesian;97,75;1;Southeast_Asia;S_&_SE_Asia;Papunesia;ow;eur;no
carn1240;caq;nca;Nicobarese (Car);Nicobarese;Austro-Asiatic;93;9;Southeast_Asia;S_&_SE_Asia;Eurasia;ow;eur;no
niii1240;nii;;Nii;Chimbu;Trans-New Guinea;144,52;-5,76;Interior_New_Guinea;NG_&_Oceania;Papunesia;pac;pac;yes
nucl1633;nir;nim;Nimboran;Nimboran;Nimboran;140,16667;-2,5;N_Coast_New_Guinea;NG_&_Oceania;Papunesia;pac;pac;yes
gily1242;niv;niv;Nivkh;Nivkh;Nivkh;142;53,33333;N_Coast_Asia;NC_Asia;Eurasia;ow;eur;yes
chig1238;cgg;nko;Nkore-Kiga;Bantoid;Niger-Congo;29,83333;-0,91667;S_Africa;Africa;Africa;ow;afr;no
nobi1240;fia;nob;Nobiin;Nubian;Nilo-Saharan;31;21;N_Africa;Africa;Africa;ow;afr;no
samo1303;smq;nmd;Nomad;East Strickland;East Strickland;142,25;-6,16667;Interior_New_Guinea;NG_&_Oceania;Papunesia;pac;pac;yes
noma1263;not;nom;Nomatsiguenga;Pre-Andine Arawakan;Arawakan;-74,5;-11,67;Andean;S_America;South America;nw;nw;yes
jiar1240;jya;jia;Northern Gyalrong;rGyalrong;Sino-Tibetan;102;31,5;Southeast_Asia;S_&_SE_Asia;Eurasia;ow;eur;no
norw1259;nob;nor;Norwegian;Germanic;Indo-European;8;61;Europe;W_&_SW_Eurasia;Eurasia;ow;eur;no
kenu1236;kzh;nbd;Nubian (Dongolese);Nubian;Nilo-Saharan;30,75;18,25;N_Africa;Africa;Africa;ow;afr;no
nung1283;nut;nun;Nung (in Vietnam);Kam-Tai;Tai-Kadai;106,41667;21,91667;Southeast_Asia;S_&_SE_Asia;Eurasia;ow;eur;no
nung1290;nuy;nug;Nunggubuyu;Nunggubuyu;Australian;135,66667;-13,75;N_Australia;Australia;Australia;pac;pac;yes
nupe1254;nup;nup;Nupe;Nupoid;Niger-Congo;5,42;9,17;African_Savannah;Africa;Africa;ow;afr;no
noot1239;noo;nuu;Nuuchahnulth;Southern Wakashan;Wakashan;-126,66667;49,66667;Alaska-Oregon;W_N_America;North America;nw;nw;yes
nyig1240;nyh;nyn;Nyigina;Nyulnyulan;Australian;124,33333;-18;N_Australia;Australia;Australia;pac;pac;yes
amas1236;nyi;nyi;Nyimang;Nyimang;Nilo-Saharan;29,33333;12,16667;African_Savannah;Africa;Africa;ow;afr;no
obol1243;ann;obo;Obolo;Cross River;Niger-Congo;7,83333;4,58333;African_Savannah;Africa;Africa;ow;afr;no
atzi1235;ocu;ocu;Ocuilteco;Otomian;Oto-Manguean;-99,66667;18,91667;Mesoamerica;C_America;North America;nw;nw;yes
ogbr1243;ogu;obg;Ogbronuagum;Cross River;Niger-Congo;6,86667;4,75;African_Savannah;Africa;Africa;ow;afr;no
oksa1245;opm;oks;Oksapmin;Oksapmin;Oksapmin;142,16667;-5,16667;Interior_New_Guinea;NG_&_Oceania;Papunesia;pac;pac;yes
oloo1241;ong;olo;Olo;Wapei-Palei;Torricelli;142;-3,41667;N_Coast_New_Guinea;NG_&_Oceania;Papunesia;pac;pac;yes
olut1240;plo;olu;Olutec;Mixe-Zoque;Mixe-Zoque;-95;17,95;Mesoamerica;C_America;North America;nw;nw;yes
molm1235;aun;one;One;West Wapei;Torricelli;141,91667;-3,25;N_Coast_New_Guinea;NG_&_Oceania;Papunesia;pac;pac;yes
onei1249;one;ond;Oneida;Northern Iroquoian;Iroquoian;-75,66667;43;E_North_America;E_N_America;North America;nw;nw;yes
onge1236;oon;ong;Onge;South Andamanese;South Andamanese;92,41667;10,75;Southeast_Asia;S_&_SE_Asia;Eurasia;ow;eur;no
toho1245;ood;ood;O'odham;Tepiman;Uto-Aztecan;-112;32;Basin_and_Plains;E_N_America;North America;nw;nw;yes
tega1236;ras;ori;Orig;Rashad;Niger-Congo;30,83333;12,16667;African_Savannah;Africa;Africa;ow;afr;no
oroh1237;ora;;Oroha;Oceanic;Austronesian;161,51;-9,74;Oceania;NG_&_Oceania;Papunesia;pac;pac;yes
orok1265;oaa;ork;Orok;Tungusic;Altaic;143,5;49,5;N_Coast_Asia;NC_Asia;Eurasia;ow;eur;yes
east2652;hae;orh;Oromo (Harar);Eastern Cushitic;Afro-Asiatic;42;9;Greater_Abyssinia;Africa;Africa;ow;afr;no
orya1242;ury;ory;Orya;Orya;Tor-Orya;139,83333;-2,75;N_Coast_New_Guinea;NG_&_Oceania;Papunesia;pac;pac;yes
osag1243;osa;osa;Osage;Siouan;Siouan;-94;37;E_North_America;E_N_America;North America;nw;nw;yes
osse1243;oss;oss;Ossetic;Iranian;Indo-European;44;43;Greater_Mesopotamia;W_&_SW_Eurasia;Eurasia;ow;eur;no
mezq1235;ote;otm;Otomí (Mezquital);Otomian;Oto-Manguean;-99,16667;20,16667;Mesoamerica;C_America;North America;nw;nw;yes
paam1238;pma;pms;Paamese;Oceanic;Austronesian;168,25;-16,5;Oceania;NG_&_Oceania;Papunesia;pac;pac;yes
paco1243;pac;pac;Pacoh;Katuic;Austro-Asiatic;107,08333;16,41667;Southeast_Asia;S_&_SE_Asia;Eurasia;ow;eur;no
paez1247;pbb;pae;Páez;Páezan;Páezan;-76;2,66667;NE_South_America;S_America;South America;nw;nw;yes
paip1241;ppi;;Paipai;Yuman;Hokan;-115,87;31,61;Mesoamerica;C_America;North America;nw;nw;yes
dumb1241;duf;pta;Paita;Oceanic;Austronesian;166,5;-22,08333;Oceania;NG_&_Oceania;Papunesia;pac;pac;yes
nort2954;pao;pno;Paiute (Northern);Numic;Uto-Aztecan;-118;42;Basin_and_Plains;E_N_America;North America;nw;nw;yes
paiw1248;pwn;pai;Paiwan;Paiwan;Austronesian;120,83333;22,5;Southeast_Asia;S_&_SE_Asia;Papunesia;ow;eur;no
pala1344;pau;pal;Palauan;Palauan;Austronesian;134,58333;7,5;Oceania;NG_&_Oceania;Papunesia;pac;pac;yes
