language;glottocode;WordOrder.binned5;WordOrder.SO;WordOrder.binned7;WordOrder.S_first;MorphMarking;HeadMarking;DependentMarking;Sources
Bokar;damu1236;V3;yes;SOV;yes;yes;no;yes;LaPolla 1994, Sun 1994: 196, Sun 2003b
Boko;boko1266;V3;yes;SOV;yes;yes;yes;no;Jones 1998: 139, 173, 274
Bora;bora1263;V3;yes;SOV;yes;yes;yes;yes;Thiesen 1996
Bororo;boro1282;V3;no;no dom.;no;yes;yes;no;Crowell 1979: 21-22, 206-, 250
Boruca;boru1252;V3;yes;SOV;yes;yes;no;yes;Quesada 2000a: 73, 77
Brahui;brah1256;V3;yes;SOV;yes;yes;yes;yes;Andronov 1980: 36-38, 56-58
Breton;bret1244;V1;yes;VSO;yes;yes;yes;no;Wmffre 1998a: 13, 36-38
Bribri;brib1243;V3;yes;SOV;yes;yes;;yes;Bobillo et al (no year), Comrie 2005
Buduma;budu1265;SVO;yes;SVO;yes;yes;yes;;Lukas and Nachtigal 1939: 34-36, 50-51, 53
Bugan;buga1247;SVO;yes;SVO;yes;no;no;no;Li 2006b
Burarra;bura1267;V3;yes;SOV;yes;yes;yes;no;Glasgow 1988
Buriat;mong1330;V3;yes;SOV;yes;yes;;yes;Comrie 1981: 87, Skribnik 2003: 108-109
Burmese;nucl1310;V3;yes;SOV;yes;yes;no;yes;Soe 1999: chapter 5, Comrie 2005
Burushaski;buru1296;V3;yes;SOV;yes;yes;yes;yes;Wilson 1996: 9-10, Comrie 2005
Busa;busa1253;V3;yes;SOV;yes;yes;yes;no;Jones 1998: 139, 173, 274
Cacua;cacu1241;V3;no;no dom.;no;yes;yes;yes;Martins and Martins 1999: 263, Bolaños 2016
Cahuilla;cahu1264;V3;yes;SOV;yes;yes;yes;yes;Sauvel and Munro 1981: 59, 89, Comrie 2005
Campa (Axininca);asha1243;nd;no;no dom.;no;yes;yes;no;Patte 1993: 120
Camsá;cams1241;V3;no;no dom.;no;yes;yes;no;Howard 1977
Canamarí;kana1291;nd;no;no dom.;no;yes;yes;no;Groth 1988: 60, 66
Candoshi;cand1248;V3;yes;SOV;yes;yes;yes;yes;Wise 1999: 320
Canela-Krahô;cane1242;V3;yes;SOV;yes;no;no;no;Popjes and Popjes 1986: 129-130
Cantonese;yuec1235;SVO;yes;SVO;yes;no;no;no;Matthews and Yip 1994: 79, 80, 128
Carib;gali1262;V3;yes;SOV;yes;yes;yes;no;Courtz 2008: 83, 138
Carib (De'kwana);maqu1238;V3;yes;SOV;yes;yes;yes;no;Hall 1988: 42, 46, 151
Cashinahua;cash1254;V3;no;no dom.;no;yes;;yes;Montag 1981, Nichols 1992
Cavineña;cavi1250;V3;no;no dom.;no;yes;;yes;Guillaume 2006: 161, 162, Comrie 2005
Cayuvava;cayu1262;V1;no;VOS;no;yes;yes;yes;Key 1967: 28-33
Cham (Eastern);east2563;SVO;yes;SVO;yes;no;no;no;Thurgood 2005
Chamorro;cham1312;V1;yes;VSO;yes;yes;yes;no;Cooreman 1987: 25, 26, 34-35, Topping 1973: 203
Chatino (Yaitepec);west2644;V1;yes;VSO;yes;yes;yes;yes;Rasch 2002: 127-128
Chayahuita;chay1248;V3;no;no dom.;no;yes;yes;yes;Hart 1988: 271, 272, 286, 478, 488, Wise 1999
Chechen;chec1245;V3;yes;SOV;yes;yes;;yes;Nichols 1994a: 23-, Nichols 1992
Chehalis (Upper);uppe1439;V1;yes;no dom.;yes;yes;yes;no;Kinkade 1963: 58-60, 85-86, 116-118, 134-136
Chepang;chep1245;V3;yes;SOV;yes;yes;yes;yes;Caughley 1982: 42
Cherokee;cher1273;nd;no;no dom.;no;yes;yes;;King 1975: 54-57
Chichimeca-Jonaz;chic1272;V3;yes;SOV;yes;yes;yes;no;Lastra de Suárez 1984: 29-33
Chimariko;chim1301;V3;no;no dom.;no;yes;yes;no;Jany 2007
Chimila;chim1309;SVO;yes;SVO;yes;yes;yes;yes;Adelaar 2004: 78-79
Chinantec (Comaltepec);coma1246;V1;yes;VSO;yes;yes;yes;no;Pace 1990, Anderson, Judi 1989
Chinantec (Lalana);lala1270;V1;no;VOS;no;yes;yes;no;Mugele 1982: 3-4
Chinantec (Lealao);leal1235;V1;no;VOS;no;yes;yes;no;Rupp 1989: 5-9
Chinantec (Quiotepec);quio1240;V1;yes;VSO;yes;yes;yes;;Robbins 1965: 3, 7, 139-142
Chinantec (Sochiapan);soch1239;V1;yes;VSO;yes;yes;yes;;Foris 1994: 149-150, 361, 362-
Chinantec (Tepetotutla);tepe1279;V1;yes;VSO;yes;yes;yes;no;Westley 1991: 33-36
Chinook (Lower);chin1286;V1;no;VOS;no;yes;yes;;Boas 1911: 573 (In Vrzić 1999: 195)
Chinook (Upper);wasc1239;V1;no;no dom.;no;yes;yes;no;Hymes 1955: 209-210, 214, 215, 225-234
Chiquitano;chiq1248;SVO;yes;SVO;yes;yes;yes;;Adelaar 2004: 477-488
Chitimacha;chit1248;V3;yes;SOV;yes;yes;yes;no;Granberry 2004: 50-60, 103,104
Choctaw;choc1276;V3;yes;SOV;yes;yes;;yes;Davies 1986: 7, Broadwell 2006: 68-75, Nichols 1992
Cholón;chol1284;V3;no;no dom.;no;yes;yes;;Adelaar 2004: 460-475
Chontal (Highland);high1242;SVO;yes;SVO;yes;yes;yes;;Turner 1963: 36-37
Chontal (Huamelultec Oaxaca);lowl1260;V1;no;no dom.;no;yes;yes;;O'connor 2004: 47
Chontal Maya;taba1266;SVO;yes;SVO;yes;yes;yes;;Knowles 1984: 76-, 310-
Chrau;chra1242;SVO;yes;SVO;yes;no;no;no;Thomas 1971: 69-70
Chukchi;chuk1273;nd;no;no dom.;no;yes;yes;yes;Dunn 1999: 104-114, Comrie 2005
Chumash (Barbareño);barb1263;V1;no;VOS;no;yes;yes;no;Mithun 2001: 391
Cinta Larga;cint1239;V3;yes;SOV;yes;yes;yes;yes;Sandberg 1988: 2, 4
Coahuilteco;coah1252;V3;yes;SOV;yes;yes;yes;no;Mithun 2001: 393-394, Troike 1996
Cocama;coca1259;SVO;yes;SVO;yes;no;no;no;Cabral 1995
Cofán;cofa1242;V3;no;no dom.;no;yes;yes;;Borman 1977: 302, 316, 332, 335, 337
Comanche;coma1245;V3;yes;SOV;yes;yes;;yes;Charney 1993: 53-58, Comrie 2005
Coos (Hanis);coos1249;nd;no;no dom.;no;yes;yes;yes;Comrie 2005, Frachtenberg 1922: 332
Coptic;copt1239;SVO;yes;SVO;yes;yes;yes;yes;Loprieno 1995, Engsheden 2008
Cora;elna1235;V1;yes;VSO;yes;yes;yes;no;Casad 1984
Cornish;corn1251;SVO;yes;SVO;yes;no;no;no;Wmffre 1998b: 49
Cree (Plains);plai1258;nd;no;no dom.;no;yes;yes;no;Dahlstrom 1991
Cuiba;cuib1242;V3;yes;SOV;yes;yes;yes;;Aikhenvald and Dixon 1999: 375
Daga;daga1275;V3;yes;SOV;yes;yes;yes;no;Murane 1974
Dagaare;sout2789;SVO;yes;SVO;yes;no;no;no;Bodomo 2000: 52, 17, 18, 25
Dagbani;dagb1246;SVO;yes;SVO;yes;no;no;no;Olawsky 1999: 45, 96
Dagur;daur1238;V3;yes;SOV;yes;yes;yes;yes;Wu 1996: 16, 21, 22, 25, 27-
Damal;dama1272;V3;no;no dom.;no;yes;yes;yes;Voorhoeve 1975: 410
Damana;mala1522;nd;no;no dom.;no;yes;;yes;Trillos Amaya 1999: 131
Dan;dann1241;V3;yes;SOV;yes;yes;yes;;Creissels 2005, Flik 1978
Dani (Lower Grand Valley);lowe1415;V3;yes;SOV;yes;yes;yes;yes;Bromlie 1981: 84, Comrie 2005
Dargwa;darg1241;V3;yes;SOV;yes;yes;;yes;van den Berg 2005, Comrie 1981: 225-226
Datooga;dato1239;V1;yes;VSO;no;yes;yes;yes;Kiessling 2007
Dâw;daww1239;SVO;yes;SVO;yes;yes;;yes;Martins 2004: 349-351, 498-502, 524, Martins and Martins 1999
Defaka;defa1248;V3;yes;SOV;yes;yes;yes;;Jenewari 1983: 99
Degema;dege1246;SVO;yes;SVO;yes;yes;yes;;Thomas 1978: 86, Kari 2005
Dení;deni1241;V3;yes;SOV;yes;yes;yes;yes;Derbyshire 1986b: 477-478, Aikhenvald and Dixon 1999
Didinga;didi1258;V1;yes;VSO;yes;yes;;yes;Tucker and Bryan 1966: 376
Diegueño (Mesa Grande);kumi1248;V3;yes;SOV;yes;yes;;yes;Langdon 1970: 150-158, Nichols 1992
Dime;dime1235;V3;yes;SOV;yes;yes;yes;yes;Fleming 1990: 519, 521-522, 533, 547-548
Dinka;nort2815;nd;no;no dom.;no;yes;yes;yes;Tucker and Bryan 1966: 425, Andersen 1991: 271-273
Diola-Fogny;jola1263;SVO;yes;SVO;yes;yes;yes;no;Sapir 1965: 23, 24, 30-
Diyari;dier1241;nd;no;no dom.;no;yes;no;yes;Austin 1981
Dizi;dizi1235;V3;yes;SOV;yes;yes;yes;yes;Beachy 2005: 63-69, Nichols 1992
Djingili;djin1251;V3;yes;SOV;yes;yes;;yes;Pensalfini 1997: 271-274, Nichols 1992
Dla (Proper)/Dera;dera1245;V3;yes;SOV;yes;yes;yes;yes;de Sousa 2006
Dogon (Toro Tegu);toro1253;V3;yes;SOV;yes;yes;yes;no;Heath 2015, Heath (no year)
Donno So;donn1239;V3;yes;SOV;yes;yes;yes;yes;Heath 2016: 10-11,166-167
Drehu;dehu1237;SVO;yes;SVO;yes;yes;;yes;Moyse-Faurie 1983: 146-, Comrie 2005
Dulong;drun1238;V3;yes;SOV;yes;yes;;yes;LaPolla 2003b
Dumo;vani1248;V3;yes;SOV;yes;yes;yes;;Ross 1980: 84, 93, 97
Duna;duna1248;V3;yes;SOV;yes;yes;no;yes;Voorhoeve 1975: 396
Dutch;dutc1256;nd;no;no dom.;no;yes;yes;;Donaldson 1997
Dyirbal;dyir1250;nd;no;no dom.;no;yes;;yes;Dixon 1972: 43-44, Nichols 1992
Edolo;edol1239;V3;yes;SOV;yes;yes;no;yes;Gossner 2003: 25-28, 106
Efik;efik1245;SVO;yes;SVO;yes;yes;yes;no;Welmers 1968: 40-44
Ekari;ekar1243;V3;yes;SOV;yes;yes;yes;yes;Voorhoeve 1975: 406-408
Emai;emai1241;SVO;yes;SVO;yes;no;no;no;Schaefer 1987: 13-20
Émérillon;emer1243;V3;yes;SOV;yes;yes;yes;no;Rose 2008:442-444, 452
Enets;enet1250;V3;yes;SOV;yes;yes;;yes;Havas 2008: 5, 6
Engenni;enge1239;SVO;yes;SVO;yes;no;no;no;Thomas 1978: 86, 122, 154-155, 170-
English;stan1293;SVO;yes;SVO;yes;yes;yes;no;Personal knowledge
Epena Pedee;epen1239;V3;yes;SOV;yes;yes;yes;yes;Harms 1994: 9-10, 65, 66, Comrie 2005
Esmeraldeño;atac1235;V1;no;no dom.;no;yes;yes;;Adelaar 2004: 155-159
Estonian;esto1258;SVO;yes;no dom.;yes;yes;yes;yes;Ehala 2006, Hiietam 2005, Tamm 2006
Even;even1260;V3;yes;SOV;yes;yes;;yes;Pakendorf 2007
Evenki;even1259;V3;yes;SOV;yes;yes;yes;yes;Nedjalkov 1997: 147, Comrie 2005
Ewe;ewee1241;SVO;yes;SVO;yes;no;no;no;Schadeberg 1985: 16
Eyak;eyak1241;V3;yes;SOV;yes;yes;yes;;Mithun 2001: 113, 315, Krauss 1970
Fasu;fasu1242;V3;no;no dom.;no;yes;yes;yes;Loeweke and May 1980: 50
Fijian;fiji1243;V1;no;no dom.;no;yes;yes;no;Dixon 1988
Finnish;finn1318;SVO;yes;SVO;yes;yes;yes;yes;Comrie 2005
Folopa/Podopa;folo1238;V3;yes;SOV;yes;yes;no;yes;Anderson, Neil 1989
Fore;fore1270;V3;yes;SOV;yes;yes;yes;yes;Scott 1986: 168
Franco-Provençal;occi1239;SVO;yes;SVO;yes;yes;yes;no;Nagy 2000: 89, 95, 109, 27, 29
French;stan1290;SVO;yes;SVO;yes;yes;yes;no;Personal knowledge
Fula (Cameroonian);adam1253;SVO;yes;SVO;yes;no;no;no;Westermann and Bryan 1970: 28-29, Stennes 1967: 94-97, 101-102, 107-109, 146
Fula (Nigerian);nige1253;SVO;yes;SVO;yes;no;no;no;McIntosh 1984: 53, 72, 205
Fulniô;fuln1247;V3;yes;SOV;yes;no;no;no;Costa 1999: 92, 122, 144-146, 147, 150-1, 166, 325, 329-330
Fur;furr1244;V3;yes;SOV;yes;yes;yes;yes;Tucker and Bryan 1966, Comrie 2005, König 2008a
Futuna-Aniwa;futu1245;SVO;yes;SVO;yes;yes;yes;yes;Doughterty 1983: 42-43, 34-38
Fyem;fyam1238;SVO;yes;SVO;yes;yes;yes;no;Nettle 1998: 24, 25, 29
Gaagudju;gaga1251;;;;;yes;;;Harvey 2002: 231-233, 262
Gaelic (Scots);scot1245;V1;yes;VSO;yes;yes;no;yes;Ramchand 1997: 29-, Lamb 2001: 29, 30, 52, 53, 64, 69
Gahuku;alek1238;V3;yes;SOV;yes;yes;yes;yes;Deibler 1976, Scott 1986: 167
Galo;damu1236;V3;yes;SOV;yes;yes;;yes;Post 2008: 724
Gamo;gamo1244;SVO;yes;SVO;yes;yes;yes;yes;Tucker and Bryan 1966: 559, 560
Garo;garo1247;V3;no;no dom.;no;yes;;yes;Burling 2003: 396, Comrie 2005
Garrwa;gara1269;V1;no;VOS;no;yes;;yes;Mushin 2008, Mushin 2005, Nichols 1992
Gavião;gavi1246;V3;yes;SOV;yes;yes;yes;no;Moore 1984: 50, Rezende Maia, Pereira and Souza de Araújo 1983
Gbaya Kara;nort2775;SVO;yes;SVO;yes;no;no;no;Roulon 1975: 36
Gbeya Bossangoa;gbay1287;SVO;yes;SVO;yes;no;no;no;Samarin 1966: 101-
Georgian;nucl1302;V3;yes;SOV;yes;yes;yes;yes;Harris 1981, Comrie 2005
German;stan1295;nd;no;no dom.;no;yes;yes;yes;Comrie 2005, Dodd, Eckhard-Black, Klapper and Whittle 2003
Ghulfan;ghul1238;V3;yes;SOV;yes;yes;;yes;Dimmendaal 2010: 27-28
Gitksan;gitx1241;V1;yes;VSO;yes;yes;;yes;Hunt 1993: 28, 56, Nichols 1992
Gogodala;gogo1265;V3;yes;SOV;yes;yes;yes;yes;Voorhoeve 1975: 354
Gooniyandi;goon1238;nd;no;no dom.;no;yes;yes;yes;Nichols 1992, McGregor 1990 
Great Andamanese;apuc1241;V3;yes;SOV;yes;yes;yes;yes;Abbi 2006: 36, 37
Grebo;barc1235;SVO;yes;SVO;yes;no;no;no;Innes 1966: 50-51, 54-55, 100-103, Innes 1966
Greek (Modern);mode1248;nd;no;no dom.;no;yes;yes;yes;Comrie 2005, Holton, Mackridge and Philippaki-Warburton 1997
Greenlandic (West);kala1399;V3;yes;SOV;yes;yes;yes;yes;Comrie 2005
Guahibo;guah1255;V3;yes;SOV;yes;yes;yes;;Aikhenvald and Dixon 1999: 375, Mosonyi 2000d
Guanano;guan1269;V3;yes;SOV;yes;yes;yes;yes;Stenzel 2004: 171, 172, 209-212, 228-
Guaraní;para1311;SVO;yes;SVO;yes;yes;yes;yes;Shain 2008, Krivoshein de Canese 1983: 134-135, Comrie 2005
Guató;guat1253;V1;yes;VSO;yes;yes;yes;no;Rodrigues 1999
Gude;gude1246;V1;yes;VSO;yes;yes;;yes;Hoskinson 1983: 106-109
Gumbaynggir;kumb1268;nd;no;no dom.;no;yes;;yes;Eades 1979: 246, 286, 311-312
Gumuz;gumu1244;SVO;yes;SVO;yes;yes;yes;no;Bender 1979: 44, 48-51
Gününa Küne;puel1244;V1;no;no dom.;no;yes;yes;no;Casamiquela 1983: 40, 51, 67, 69, 72, 76, 80
Gurenne;fare1241;SVO;yes;SVO;yes;no;no;no;Niggli and Niggli 2007
Guro;guro1248;V3;yes;SOV;yes;yes;yes;no;Benoist 1968: 50-
Gurung;guru1261;V3;yes;SOV;yes;yes;;yes;Nichols 1992
Gwari;gbag1258;nd;yes;no dom.;yes;yes;yes;no;Hyman and Magaji 1970: 56-57, 92
Hadza;hadz1240;V1;no;no dom.;no;yes;yes;;Obst 1912: 41-42
Haida;haid1248;V3;yes;SOV;yes;yes;yes;no;Enrico 2003: 22, 24, 25, 74
Halkomelem (Island);halk1245;V1;yes;VSO;yes;yes;yes;;Gerdts 1988: 38-43, Galloway 1993, Gerdts and Hukari 2003
Halkomelem (Upriver);halk1245;V1;yes;VSO;no;yes;yes;no;Gerdts 1988: 38-49
Hamtai;hamt1247;V3;yes;SOV;yes;yes;yes;no;Oates and Oates 1968: 26-27, 46
Harari;hara1271;V3;no;no dom.;no;yes;yes;yes;Comrie 1998: 421
Hatam;hata1243;SVO;yes;SVO;yes;yes;yes;no;Reesink 2002b: 4, 29, Donohue 1997
Hausa;haus1257;SVO;yes;SVO;yes;yes;yes;no;Newman 2000
Hdi;hdii1240;V1;yes;VSO;yes;yes;no;yes;Frajzyngier and Shay 2002
Hebrew (Modern);hebr1245;SVO;yes;SVO;yes;yes;yes;yes;Comrie 2005, Coffin and Bolozky 2005
Hindi;hind1269;V3;yes;SOV;yes;yes;yes;yes;Klein 2007, Mohanan 1990: 72-118, Comrie 2005
Hixkaryana;hixk1239;OVS;no;OVS;no;yes;yes;no;Derbyshire 1979
Hmong Njua;huam1250;SVO;yes;SVO;yes;no;no;no;Lyman 1979
Hopi;hopi1249;V3;yes;SOV;yes;yes;yes;yes;Gronemeyer 1996
Hua;yaga1260;V3;yes;SOV;yes;yes;;yes;Haiman 1980: 228, Nichols 1992
Hualapai;hava1248;V3;yes;SOV;yes;yes;yes;yes;Watahomigie, Bender and Yamamoto with Mapatis, Manakaja and Powskey 1982
Huastec;huas1256;SVO;yes;SVO;yes;yes;yes;;Edmonson 1988: 565-574
Huave (San Mateo del Mar);sanm1287;SVO;yes;SVO;yes;yes;yes;;Stairs Kreger and Scharfe de Stairs 1981: 291, 299, 321
Huitoto (Murui);muru1274;V3;yes;SOV;yes;yes;;yes;Burtch 1983: 145, Wise 1999: 320-321
Huli;huli1244;;;;;yes;;yes;Lomas 1988: 185-186, 188-189
Hungarian;hung1274;nd;no;no dom.;no;yes;yes;yes;Rounds 2001, Kiss 2002, Comrie 2005
