language;glottocode;WordOrder.binned5;WordOrder.SO;WordOrder.binned7;WordOrder.S_first;MorphMarking;HeadMarking;DependentMarking;Sources
!Xóõ;xooo1239;SVO;yes;SVO;yes;yes;yes;no;Traill 1994: 20-21, König 2008c: 1003-1005
=|Hoan;hoaa1235;SVO;yes;SVO;yes;yes;;yes;Collins 2003
Abau;abau1245;V3;yes;SOV;yes;yes;yes;yes;Bailey 1975: 72, 73, Lock 2011: 80-84
Abipón;abip1241;SVO;yes;SVO;yes;yes;yes;no;Najlis 1966: 28-34, 39-, 87, 75
Abkhaz;abkh1244;V3;yes;SOV;yes;yes;yes;no;Hewitt 1979
Abun;abun1252;SVO;yes;SVO;yes;no;no;no;Berry and Berry 1999: 44-45
Acehnese;achi1257;nd;no;no dom.;no;yes;yes;no;Durie 1985: 123, 180-181, 55-61
Achagua;acha1250;SVO;yes;SVO;yes;yes;yes;yes;Melendez 1993
Achuar;achu1248;V3;yes;SOV;yes;yes;;yes;Fast, Fast and Fast 1996: 27, 60-61, Wise 1999: 321
Achumawi;achu1247;SVO;yes;SVO;yes;yes;yes;yes;Mithun 2001: 471-472
Acoma;west2632;nd;no;no dom.;no;yes;yes;no;Maring 1967: 54-55, 107
Adang;adan1251;V3;yes;SOV;yes;yes;yes;yes;Haan 2001
Adyghe (Abzakh);adyg1241;V3;yes;SOV;yes;yes;;yes;Hewitt 2005, Comrie 1981: 225
Aekyom/Awin;aeky1238;V3;yes;SOV;yes;yes;yes;;Voorhoeve 1975: 389-390
Afrikaans;afri1274;SVO;yes;SVO;yes;no;no;no;Donaldson 1993
Agarabi;agar1252;V3;yes;SOV;yes;yes;yes;yes;Goddard 1974: 81, 86, 88
Ainu;ainu1240;V3;yes;SOV;yes;yes;yes;no;Tamura 2000: 39, 47-55, 58-
Aja;ajas1235;SVO;yes;SVO;yes;yes;yes;;Santandrea 1976: 147-148
Akan (Asante);akan1250;SVO;yes;SVO;yes;no;no;no;Osam 1994: 124-125, 146-148, 151-152
Akan (Fante);fant1241;SVO;yes;SVO;yes;yes;yes;no;Osam 1994: 124-125, 146-148, 151-152
Alamblak;alam1246;V3;yes;SOV;yes;yes;yes;no;Bruce 1984
Alawa;alaw1244;nd;no;no dom.;no;yes;yes;yes;Sharpe 1972
Albanian;gheg1238;SVO;yes;SVO;yes;yes;;yes;Newmark, Hubbard and Prifti 1982: 135-137
Aleut;aleu1260;V3;yes;SOV;yes;yes;yes;;Merchant 2008
Allentiac;alle1238;V3;yes;SOV;yes;yes;yes;yes;Adelaar 2004: 544-549
Alsea;alse1251;V1;no;no dom.;no;yes;yes;yes;Buckley 1989, Mithun 2001: 341-343
Alune;alun1238;SVO;yes;SVO;yes;yes;yes;;Florey 2001
Amanab;aman1265;V3;yes;SOV;yes;yes;yes;yes;Minch 1992
Ambulas;ambu1247;V3;yes;SOV;yes;yes;;yes;Wilson 1980: 27, 28, 117, Nichols 1992
Amele;amel1241;V3;yes;SOV;yes;yes;yes;no;Roberts 1987: 67, 68, 72, 161, 162
Amharic;amha1245;V3;yes;SOV;yes;yes;yes;yes;König 2008a: 90, Leslau 1995: 181-182
Amis;amis1246;V1;no;no dom.;no;yes;;yes;Wu 2006: 78-85, 99-107
Amuzgo;guer1243;V1;yes;VSO;yes;yes;yes;no;Stewart and Stewart 2000: 416-417
Andoke;ando1256;nd;no;no dom.;no;yes;yes;;Landaburu 1976: 94-95
Anêm;anem1249;SVO;yes;SVO;yes;yes;yes;;Thurston 1982
Anggor;ango1254;V3;yes;SOV;yes;yes;yes;no;Litteral 2003: 51-57, 97
Anindilyakwa;anin1240;nd;no;no dom.;no;yes;yes;no;Leeding 1989: 302
Ansus;ansu1237;SVO;yes;SVO;yes;yes;yes;;Donohue 2005b: 529
Apurinã;apur1254;SVO;yes;SVO;yes;yes;yes;no;Facundes 2000: 290
Arabela;arab1268;V3;yes;SOV;yes;yes;yes;yes;Rich 1999: 26, 34-39, 57-58, 81
Arabic (Egyptian);egyp1253;SVO;yes;SVO;yes;yes;yes;no;Comrie 2005, Jelinek 2002
Araona;arao1248;V3;no;no dom.;no;yes;;yes;Pitman 1980: 14, Comrie 2005
Arapesh (Mountain);buki1249;SVO;yes;SVO;yes;yes;yes;no;Conrad and Wogiga 1991
Arawak;araw1276;SVO;yes;SVO;yes;no;no;no;Pet 1987: 3, 23, 24, 45, 48
Armenian (Western);nucl1235;V3;yes;SOV;yes;yes;yes;yes;Kogian 1949: 33, 34
Asmat;tamn1235;V3;yes;SOV;yes;yes;yes;yes;Nichols 1992
Assamese;assa1263;V3;yes;SOV;yes;yes;;yes;Goswami and Tamuli 2003: 432-433, Masica 1991
Asuriní;toca1235;OVS;no;OVS;no;yes;yes;;Harrison 1970: 6, 119, 143, 156-157, Harrison 1975: 12
Atacameño;kunz1244;V3;yes;SOV;yes;yes;;yes;Adelaar 2004: 375-385
Atakapa;atak1252;V3;no;no dom.;no;yes;yes;no;Swanton 1929: 125-127
Atayal;atay1247;V1;no;VOS;no;yes;yes;yes;Rau 1992: 139-140, Huang 1995
Atohwaim;atoh1238;V3;yes;SOV;yes;yes;yes;;Voorhoeve 1975: 368
Atsugewi;atsu1245;nd;no;no dom.;no;yes;yes;yes;Mithun 2001: 471-472
Au;auuu1241;SVO;yes;SVO;yes;yes;yes;no;Scorza 1985: 245-249, 259-
Avar;avar1256;V3;yes;SOV;yes;yes;;yes;van den Berg 2005, Charachidzé 1981: 37
Avokaya;avok1242;nd;no;no dom.;no;no;no;no;Kilpatrick 1981
Awa Pit;awac1239;V3;yes;SOV;yes;yes;yes;yes;Curnow 1997: 65, Comrie 2005
Awngi;awng1244;V3;no;no dom.;no;yes;;yes;König 2008a: 89, Hetzron 1978, Appleyard 1988
Awtuw;awtu1239;V3;yes;SOV;yes;yes;;yes;Feldman 1986: 107-111, Malchukov 2008, Nichols 1992
Ayiwo;ayiw1239;OVS;no;OVS;no;yes;yes;;Wurm 1992: 155-
Aymara;nucl1667;V3;yes;SOV;yes;yes;;yes;Bossong 1989, Comrie 2005
Ayoreo;ayor1240;SVO;yes;SVO;yes;yes;yes;;Adelaar 2004: 496-497
Azerbaijani;sout2697;V3;yes;SOV;yes;yes;;yes;Kornfilt and von Heusinger 2009, Schönig 1998: 251
Babungo;veng1238;SVO;yes;SVO;yes;no;no;no;Schaub 1985: 193, 194
Bagirmi;bagi1246;SVO;yes;SVO;yes;no;no;no;Stevenson 1969: 37, 31-38, 82-88
Bagiro;furu1242;SVO;yes;SVO;yes;yes;yes;;Boyeldieu 2000
Bagvalal;bagv1239;;;;;yes;yes;;Corbett 2006: 749-750
Bai;cent2004;SVO;yes;SVO;yes;yes;no;yes;Wiersma 1990: 184, LaPolla 1994, Wiersma 2003
Bajau (Sama);indo1317;nd;no;no dom.;no;yes;yes;yes;Miller 2007, Donohue and Brown 1999
Bali-Vitu;bali1280;SVO;yes;SVO;yes;yes;yes;;van den Berg and Bachet 2006
Bambara;bamb1269;V3;yes;SOV;yes;yes;no;yes;Dumestre 2003: 38, 39, 179-184, Heath 2007
Baniwa;bani1255;V1;no;VOS;no;yes;yes;;Mosonyi et al 2000b: 202
Barai;bara1377;V3;yes;SOV;yes;yes;yes;no;Van Valin and LaPolla 1997: 313-317
Barasano;bara1380;nd;no;no dom.;no;yes;yes;yes;Jones and Jones 1991: 65, Comrie 2005
Baré;bare1276;SVO;yes;SVO;yes;yes;yes;;Aikhenvald 2007: 851
Bari;bari1284;SVO;yes;SVO;yes;no;no;no;Spagnolo 1933: 55, 104-105, 80
Bari (Chibchan);bari1297;V3;yes;SOV;yes;yes;yes;yes;Quesada 2004: 366-373
Bashkir;bash1264;V3;no;no dom.;no;yes;yes;yes;Poppe 1997: 35-
Basketo;bask1236;V3;no;no dom.;no;yes;;yes;König 2008a: 90
Basque;basq1248;V3;yes;SOV;yes;yes;yes;yes;Hualde and Ortiz de Urbina 2003: 171-181, Comrie 2005
Bauzi;bauz1241;V3;yes;SOV;yes;yes;yes;yes;Briley 1997: 25-32
Bawm;bawm1236;V3;yes;SOV;yes;yes;yes;yes;Reichle 1981: 24-28, Comrie 2005
Begak-Ida'an;idaa1241;nd;yes;no dom.;yes;yes;yes;;Goudswaard 2005: 125-
Beja;beja1238;V3;yes;SOV;yes;yes;yes;yes;Hudson 1974: 115, 118-121
Belhare;belh1239;V3;no;no dom.;no;yes;yes;yes;Bickel (to appear), Bickel 2003
Bella Coola;bell1243;V1;yes;VSO;yes;yes;yes;;Nater 1985: 37, 38, 42
Belorussian;bela1254;nd;no;no dom.;no;yes;yes;yes;Mayo 2002: 914
Berber (Middle Atlas);cent2194;V1;yes;VSO;yes;yes;yes;yes;Penchoen 1973
Berber (Rif);tari1263;SVO;yes;SVO;yes;yes;;yes;Kossmann 2000: 23
Berik;beri1254;V3;yes;SOV;yes;yes;yes;yes;Westrum 1988: 141, 144-145, 150-, 166-167
Berta;bert1248;SVO;yes;SVO;yes;yes;no;yes;Andersen 1995: 41-44
Betoi;beto1236;V3;yes;SOV;yes;yes;yes;no;Zamponi 2003: 20-25
Biak;biak1248;SVO;yes;SVO;yes;yes;yes;;Heuvel 2006: 283, 284
Bilin;bili1260;nd;no;no dom.;no;yes;yes;yes;Tucker and Bryan 1966: 514, König 2008a: 89
Bilua;bilu1245;nd;no;no dom.;no;yes;yes;yes;Todd 1975: 812, 814
Bininj Gun-Wok;gunw1252;nd;no;no dom.;no;yes;yes;no;Evans 2003b: 389-417
Birom;bero1242;SVO;yes;SVO;yes;yes;yes;no;Bouquaix 1970: 123, 129, 135, 165, 298-305, 343, 348
