even1260,Pakendorf2007
ewee1241,Schadeberg1985[16]
eyak1241,"Mithun2001[113, 315];Krauss1970"
fant1241,"Osam1994[124-125, 146-148, 151-152]"
fare1241,Niggli2007
fass1245,Blake2007
fasu1242,Loeweke1980[50]
fiji1243,Dixon1988
finn1318,Comrie2013
folo1238,AndersonN1989
fore1270,Scott1986[168]
fuln1247,"Costa1999[92, 122, 144-146, 147, 150-1, 166, 325, 329-330]"
furr1244,Tucker1966;Konig2008a;Comrie2013
furu1242,Boyeldieu2000
futu1245,"Dougherty1983[42-43, 34-38]"
fyam1238,"Nettle1998[24, 25, 29]"
gaam1241,Bender1989;Stirtz2006
gaga1251,"Harvey2002[231-233, 262]"
gali1262,"Courtz2008[83, 138]"
gama1251,Watters2003[688-689];LaPolla1994
gamo1244,"Tucker1966[559, 560]"
gang1267,Keen1983;Denniss2007;Nichols1992
gara1269,Mushin2008;Mushin2005;Nichols1992
garo1247,Burling2003[396];Comrie2013
gavi1246,Moore1984[50];Maia1983
gbag1258,"Hyman1970[56-57, 92]"
gbay1281,Boyd1997
gbay1287,Samarin1966[101-]
gbay1288,"Santandrea1976[136, 141, 147, 148, 152, 100]"
gheg1238,Newmark1982[135-137]
ghul1238,Dimmendaal2010[27-28]
gilb1244,Groves1985
gily1242,Gruzdeva1998
gitx1241,"Hunt1993[28, 56];Nichols1992"
gogo1265,Voorhoeve1975[354]
goon1238,Nichols1992;McGregor1990
gras1249,"Dutton1996[18-20, 23-24]"
guah1255,Aikhenvald1999[375];Mosonyi2000d
guan1269,"Stenzel2004[171, 172, 209-212, 228-]"
guar1293,"Aikhenvald1998[229, 287, 357-359]"
guat1253,Rodrigues1999
gude1246,Hoskinson1983[106-109]
guer1243,Stewart2000[416-417]
guib1245,Bodomo2007
gumu1244,"Bender1979[44, 48-51]"
gunw1252,Evans2003b[389-417]
guro1248,Benoist1968[50-]
guru1261,Nichols1992
hadz1240,Obst1912[41-42]
haid1248,"Enrico2003[22, 24, 25, 74]"
haka1240,Peterson2003
halh1238,Guntsetseng2008;Comrie2013
halk1245,Gerdts1988[38-49]
halk1245,Gerdts1988[38-49]
hamt1247,"Oates1968[26-27, 46]"
hara1271,Comrie1998[421]
hata1243,"Reesink2002b[4, 29];Donohue1997"
haus1257,Newman2000
hava1248,Watahomigie1982
hdii1240,Frajzyngier2002
hebr1245,Coffin2005;Comrie2013
high1242,Turner1963[36-37]
hind1269,Klein2007;Mohanan1990[72-118];Comrie2013
hixk1239,Derbyshire1979
hoaa1235,Collins2003
hopi1249,Gronemeyer1996
huam1248,Bossong1989;Nichols1992;Weber1989[162-167]
huam1250,Lyman1979
huas1256,Edmonson1988[565-574]
huas1257,Beller1979[206]
huau1238,Pike1967
huli1244,"Lomas1988[185-186, 188-189]"
hung1274,Rounds2001;Kiss2002;Comrie2013
hunz1247,vandenBerg2005;Comrie2013
hupd1244,Epps2008
iatm1242,Staalsen1972[46-48]
iauu1242,Bateman1986[46]
icel1247,Svenonius2002
idaa1241,Goudswaard2005[125-]
idom1241,Abraham1967
idun1242,"Huckett1974[86, 75, 80-]"
iged1239,"Bergman1981[9, 24]"
ikkk1242,Konig2008b;Serzisko1989
ikpo1238,Creissels2005
imba1240,Cole1985;Comrie2013
imon1245,Seiler1985[163-165];Comrie2013
indo1316,Sneddon1996[160-165]
indo1317,Miller2007;Donohue1999
ingu1240,Nichols1994b[95-97];Comrie2013
iqui1243,"Brown2004[4, 24, 47]"
iraq1241,Mous1992[238-244];Comrie2013
iris1253,Stenson1981[35-39]
isir1237,Oguri1985[143-144]
isth1238,Dieterman1995[10]
isth1244,Rosenbaum1974
ital1282,Posner2004
itel1242,Bobaljik2002
iton1250,"Crevels2002[38-40, 45-46]"
iumi1238,Court1985[133]
iwai1244,Evans1998
izie1238,"Meier1975[140-141, 159, 206, 208, 209, 236-237, 243]"
izon1238,Williamson1965
jama1261,Campbell1985a;Dixon1999[300]
jami1235,"Johnson1988[21, 49]"
jams1239,Heath2008a;McPherson_nd
jaqa1244,Hardman2000
jara1245,Abbi2006[60]
jebe1250,Wise1999;BendorSamuel1961[37]
jeha1242,Diffloth1976;Matisoff2003a
jiar1240,Sun2003a[493]
jola1263,"Sapir1965[23, 24, 30-]"
jowu1238,Carlson1993[24]
juho1239,Dickens1992[21-22]
kaba1278,Colarusso1992[51-]
kaby1243,Konig2008a[180-];Kuningas2008
kach1280,LaPolla1994;Qingxia2003
kadi1248,Sandalo1995[64-]
kagf1238,Smith2007
kago1247,"Hagen1988[141, 169]"
kain1272,Henry1948[198-199]
kaki1249,Clifton1997[21]
kala1399,Comrie2013
kala1400,"Banks2007[8, 10, 15, 22]"
kalk1246,Blake1979[27]
kalm1243,Benzing1985[32]
kama1351,Havas2008;Donners1944[9];Simoncsics1998
kama1365,Stokhof1982
kamb1299,Klamer1998[60-63]
kamo1255,Voorhoeve1975[371]
kamu1258,Dixon2002;Harvey2003a;Harvey2003b
kamu1260,Routamaa1994[75]
kana1291,"Groth1988[60, 66]"
kara1486,"Dryer2013[7, 185-186]"
kara1500,"RezendeMaia1998[28, 71-76]"
karb1241,LaPolla1994
kari1255,Larsen1984
kari1311,"Storto1999[121, 158]"
kark1258,Rigden1986a[15];Rigden1986b
karo1304,Bright1957[133-134]
karo1305,Gabos1999
kase1253,Niggli2008[51]
kash1277,Nichols2001[518]
katl1237,Tucker1966[267-268]
kaur1271,"Auri1991[108, 109, 113, 115]"
kaya1319,"Evans2003a;Evans1995[97-119, 136-];Comrie2013"
keii1239,"Geurtjens1921[30, 35]"
kekc1242,Tzul1997[89]
kenu1236,Armbruster1960
keoo1238,"Baird2002[50, 67-69]"
kera1255,"Ebert1979[68-69, 83, 84, 130]"
kett1243,Vajda2004
kewa1250,Franklin1971[62-63];Comrie2013
kham1290,Morey2002
khan1273,Filchenko2007[322]
khan1278,Ikoro1996
khas1269,"Nagaraja1985[49, 88];Comrie2013"
khmu1256,Premsrirat1987
kili1267,"Senft1986[30-36, 107-108]"
kima1246,Voorhoeve1975[365]
kiow1266,"Watkins1984[74-75, 114-117]"
kiri1256,
kiss1245,Childs1995[226]
klam1254,"Barker1964[184, 235, 321-325];Mithun2001[448-451]"
klao1243,Marchese1986
koas1236,"Kimball1991[380-, 515-516];Comrie2013"
kobo1249,Davies1989;Comrie2013
koho1244,"Manley1972[60-63, 64-65]"
kola1242,Krishnamurti2003
komb1272,Farr1992
komi1268,Havas2008;Hausenberg1998;Nichols1992
komo1258,Tucker1966[362-367]
koon1244,"Bentley1887[578, 620];Comrie2013"
kore1280,Kwon2008;Comrie2013
kore1283,"Cook1993[47, 48]"
kork1243,Nagaraja1999
koro1298,"Rennison1997[149-152, 284]"
kota1263,"Krishnamurti2003[218, 228];Nichols1992"
koyr1240,Heath1999a
koyr1242,"Heath1999b[79, 212]"
kris1246,Donohue2005a
kron1241,Reh1983
kuan1248,"Franklin1974[23, 125, 127]"
kuma1280,Trefry1969[51-]
kumb1268,"Eades1979[246, 286, 311-312]"
kumi1248,Langdon1970[150-158];Nichols1992
kuna1268,Thompson1983;Konig2008a;Comrie2013
kuni1267,"Geary1977[23, 74]"
kunz1244,Adelaar2004[375-385]
kuot1243,Lindstroem2002
kusu1250,Watters2006
kute1249,"Dryer1996[13-15, 23]"
kwai1243,Keesing1985[117-]
kwak1269,Anderson1992[18-37]
kwam1252,"Lindstrom1994[7, 9, 10, 20, 21]"
kwar1239,"Ivens1931[685, 686, 691]"
kwaz1243,Aikhenvald1999[363]
kwom1262,Kooyers1974[31]
laal1242,"Boyeldieu1982[144-145, 150-152, 168-169]"
lach1248,"Kosaka2000[76, 111]"
lada1244,LaPolla1994;Koshal1979[64-80];Comrie2013
lafo1243,"Tucker1966[279, 287]"
lahu1253,Matisoff2003b;LaPolla1994
lakk1252,Friedman1984;vandenBerg2005;Comrie2013
lako1247,Valin1977[3]
lala1270,Mugele1982[3-4]
lang1324,Noonan1992
laoo1244,Enfield2007
lara1258,"Capell1984[65, 80-84]"
latv1249,Nau1998[23-25];Comrie2013
lavu1241,Terrill2003
leal1235,Rupp1989[5-9]
lele1276,Frajzyngier2001[100-110]
lepc1244,Mainwaring1876[120];Plaisier2003;Comrie2013
leti1246,vanEngelenhoven2006
lezg1247,Haspelmath1993[84];Comrie2013
libe1247,"Westermann1969[10, 14]"
ligb1244,Persson1980[35-37]
limo1248,"Ferreirinho1992[10-13, 57]"
ling1263,"Meeuwis1998[26-27, 39, passim]"
lisu1250,LaPolla1994;Bradley2003[226-227]
lith1251,Dambriunas1972[30-31]
loka1252,Baker2005
lolo1259,Gerner2008
lowe1415,Bromley1981[84];Comrie2013
lowl1260,OConnor2004[47]
lowl1265,"Burgess1984[10, 12, 53, 100, 101]"
lugb1240,Crazzolara1960[75]
luis1253,"Elliott1999[17-20, 25-26];Grune1997;Nichols1992"
lund1266,Kawasha2003;Kawasha2002
luok1236,Stafford1967[1-5]
luva1239,"Horton1949[20, 21]"
maba1277,"Konig2008a[90, 91, 235];Tucker1966[199, 202]"
mace1250,Wahlstrom2015
macu1259,Abbott1991[83]
macu1260,Smothermon1995[31-]
madi1260,Tucker1966[42]
maib1239,Dol1999
mail1248,"Thompson1975[54, 59];Saville1912"
maka1316,Huber2008[60]
maka1318,"Davidson2002[109-, 258-, 312]"
makh1264,vanderWal2009[39-86]
makl1246,"Boelaars1950[20, 23]"
mala1464,"Krishnamurti2003[227, 426, 432];Andronov1996"
mala1481,Wantalangi1993
mala1522,TrillosAmaya1999[131]
male1282,Enfield2009
male1292,Sherwood1983[83-]
mali1284,Stebbins2009
malt1254,Aquilina1959;Sutcliffe1936[50-51]
mamc1234,England1983
mamv1243,"Vorbichler1971[227, 228, 323-]"
mana1295,Turner1986
manc1252,Bossong1991[161];Moellendorff1892
mand1415,Li1981
mand1436,Colley1995[29]
mand1446,"Mixco1997[15-, 20, 40]"
mang1381,Merlan1989;Fauconnier2011;Comrie2013
mang1394,"Larochette1958[24, 69, 123, 81, 83, 84]"
mani1235,Reesink2002a[203]
mani1292,Chelliah1997[107-109];Comrie2013
mans1258,Havas2008;Comrie1981[126]
maor1246,Pucilowski2006[12];Comrie2013
mapu1245,"Zuniga2000[16, 20-25]"
maqu1238,"Hall1988[42, 46, 151]"
mara1378,Joshi1993;Pandharipande1997[283-292];Comrie2013
mara1386,"Tryon1970[17-19, 48-49]"
mara1396,Konig2008a[90];Tucker1966[211]
marg1265,"Hoffmann1963[46, 166]"
mari1424,"Green1989[49-53, 74-88]"
mari1440,Gordon1986;Comrie2013
mart1255,Dench1994[63-];Comrie2013
masa1300,Nichols1992;Lamoureaux2004;Payne2004
masa1322,Caitucoli1986
mass1263,Clouse2002[6]
maun1240,Capell1970
maxa1247,"Popovich2005[iv, vi]"
maya1285,"Conzemius1929[83-, 88, 106];BenedictoHale2000"
mbum1254,"Hagege1970[90, 296]"
mend1266,"Innes1962[31-33, 122, 131-132]"
mend1268,Hoel1994
meri1244,"Piper1989[31, 32, 45, 127, 130]"
meya1236,Gravelle2002
mezq1235,Hess1968[78]
mich1245,Sischo1979[313-314]
mina1268,Gil2008
misk1235,"Conzemius1929[83-, 88, 106]"
miya1266,Schuh1998[281-282]
mlab1235,Rischel1995[135]
moch1259,"Adelaar2004[321-, 348]"
mode1248,Holton1997;Comrie2013
moha1258,"Mithun1998;Bonvillain1973[91, 135]"
mola1238,"Pharris2006[197-201, 284-]"
molm1235,Donohue2000
mong1330,Comrie1981[87];Skribnik2003[108-109]
moni1261,Larson1958;Voorhoeve1975[409]
monn1252,"Bauer1982[301, 367-368, 478-480]"
moro1285,"Black1971[9, 10]"
mose1249,"Sakel2003[51, 146-147, 295-296]"
movi1243,"Haude2006[258, 277-]"
mpur1239,"Reesink2002b[4, 29]"
mufi1238,"Alungum1978[110-111, passim]"
muin1242,"Minor1971[47, 134-145];Minor1963"
mula1253,Jung1993
mull1237,Birk1976
mund1320,Osada1992
mund1330,"Crofts1973[47, 48, 91-93]"
murl1244,Arensen1982[48-52];Comrie2013
murr1258,"Walsh1976[163, 164, 205-208, 279-280]"
murs1242,"Turton1976[540-548, 554]"
muru1274,Burtch1983[145];Wise1999[320-321]
muse1242,"Platiel1968[48, 59]"
muso1238,Holzknecht1997[85-86]
naas1242,Hurd1966;Nichols1992
nade1244,Martins1999[263]
nama1264,Hagman1973;Comrie2013
nami1256,"Tupper2009;Feldpausch1992[10, 39, 85]"
nana1257,Nichols1992
nang1259,Dixon2002;Reid2000
nara1262,Tucker1966[329-335];Reinisch1874
natc1249,"Brinton1873[492, 493]"
nava1243,Faltz1998;Comrie2013
naxi1245,LaPolla1994[64-65];Dryer2008
ndei1235,Vries1993
ndog1248,"Santandrea1961[47, 20]"
nend1239,"Harris1990[92-93, passim]"
nene1249,Havas2008;Comrie2013
nepa1254,Li2007;Bickel2011
newa1246,Hargreaves2003
