ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,WALS_code,Genus,Family,Area,Continent,Macrocontinent,Macrocontinent_SplitOldWorld,Circumpacific,Source,Source_prose
xooo1239,!Xóõ,Africa,-24.0,21.5,xooo1239,nmn,xoo,Southern Khoisan,Khoisan,S_Africa,Africa,ow,afr,no,Konig2008c[1003-1005];Traill1994[20-21],"Traill 1994: 20-21, König 2008c: 1003-1005"
hoaa1235,=|Hoan,Africa,-25.5,25.0,hoaa1235,huc,huc,=|Hoan,Khoisan,S_Africa,Africa,ow,afr,no,Collins2003,Collins 2003
abau1245,Abau,Papunesia,-4.0,141.25,abau1245,aau,aba,Upper Sepik,Sepik,N_Coast_New_Guinea,NG_&_Oceania,pac,pac,yes,"Bailey1975[72, 73];Lock2011[80-84]","Bailey 1975: 72, 73, Lock 2011: 80-84"
abip1241,Abipón,South America,-29.0,-61.0,abip1241,axb,abi,Guaicuruan,Guaicuruan,SE_South_America,S_America,nw,nw,yes,"Najlis1966[28-34, 39-, 87, 75]","Najlis 1966: 28-34, 39-, 87, 75"
abkh1244,Abkhaz,Eurasia,43.08333,41.0,abkh1244,abk,abk,Northwest Caucasian,Northwest Caucasian,Greater_Mesopotamia,W_&_SW_Eurasia,ow,eur,no,Hewitt1979,Hewitt 1979
abun1252,Abun,Papunesia,-0.5,132.5,abun1252,kgr,abu,North-Central Bird's Head,West Papuan,N_Coast_New_Guinea,NG_&_Oceania,pac,pac,yes,Berry1999[44-45],Berry and Berry 1999: 44-45
achi1257,Acehnese,Eurasia,5.5,95.5,achi1257,ace,ace,Malayo-Sumbawan,Austronesian,Southeast_Asia,S_&_SE_Asia,ow,eur,no,"Durie1985[123, 180-181, 55-61]","Durie 1985: 123, 180-181, 55-61"
acha1250,Achagua,South America,4.41667,-72.25,acha1250,aca,acg,Northern Arawakan,Arawakan,NE_South_America,S_America,nw,nw,yes,Melendez1993,Melendez 1993
achu1248,Achuar,South America,-2.66667,-76.0,achu1248,acu,acu,Jivaroan,Jivaroan,NE_South_America,S_America,nw,nw,yes,"Fast1996[27, 60-61];Wise1999[321]","Fast, Fast and Fast 1996: 27, 60-61, Wise 1999: 321"
achu1247,Achumawi,North America,41.5,-121.0,achu1247,acv,acm,Palaihnihan,Hokan,Basin_and_Plains,W_N_America,nw,nw,yes,Mithun2001[471-472],Mithun 2001: 471-472
west2632,Acoma,North America,34.91667,-107.58333,west2632,kjq,aco,Keresan,Keresan,Basin_and_Plains,E_N_America,nw,nw,yes,"Maring1967[54-55, 107]","Maring 1967: 54-55, 107"
adan1251,Adang,Papunesia,-8.2,124.0,adan1251,adn,adg,Greater Alor,Timor-Alor-Pantar,Oceania,NG_&_Oceania,pac,pac,yes,Haan2001,Haan 2001
adyg1241,Adyghe (Abzakh),Eurasia,45.23333,40.58333,adyg1241,ady,ady,Northwest Caucasian,Northwest Caucasian,Greater_Mesopotamia,W_&_SW_Eurasia,ow,eur,no,Comrie1981[225];Hewitt2005,"Hewitt 2005, Comrie 1981: 225"
aeky1238,Aekyom/Awin,Papunesia,-5.75,141.41667,aeky1238,awi,awi,Awin-Pare,Awin-Pare,Interior_New_Guinea,NG_&_Oceania,pac,pac,yes,Voorhoeve1975[389-390],Voorhoeve 1975: 389-390
afri1274,Afrikaans,Africa,-31.0,22.0,afri1274,afr,afr,Germanic,Indo-European,S_Africa,Africa,ow,afr,no,Donaldson1993,Donaldson 1993
agar1252,Agarabi,Papunesia,-6.16667,146.0,agar1252,agd,aga,Eastern Highlands,Trans-New Guinea,N_Coast_New_Guinea,NG_&_Oceania,pac,pac,yes,"Goddard1974[81, 86, 88]","Goddard 1974: 81, 86, 88"
ainu1240,Ainu,Eurasia,43.0,143.0,ainu1240,ain,ain,Ainu,Ainu,N_Coast_Asia,NC_Asia,ow,eur,yes,"Tamura2000[39, 47-55, 58-]","Tamura 2000: 39, 47-55, 58-"
ajas1235,Aja,Africa,7.33333,25.66667,ajas1235,aja,aja,Kresh,Nilo-Saharan,African_Savannah,Africa,ow,afr,no,Santandrea1976[147-148],Santandrea 1976: 147-148
akan1250,Akan (Asante),Africa,6.5,-1.25,akan1250,aka,akn,Kwa,Niger-Congo,African_Savannah,Africa,ow,afr,no,"Osam1994[124-125, 146-148, 151-152]","Osam 1994: 124-125, 146-148, 151-152"
fant1241,Akan (Fante),Africa,,,fant1241,fat,,Kwa,Niger-Congo,African_Savannah,Africa,ow,afr,no,"Osam1994[124-125, 146-148, 151-152]","Osam 1994: 124-125, 146-148, 151-152"
alam1246,Alamblak,Papunesia,-4.66667,143.33333,alam1246,amp,ala,Sepik Hill,Sepik,N_Coast_New_Guinea,NG_&_Oceania,pac,pac,yes,Bruce1984,Bruce 1984
alaw1244,Alawa,Australia,-15.16667,134.25,alaw1244,alh,alw,Maran,Australian,N_Australia,Australia,pac,pac,yes,Sharpe1972,Sharpe 1972
gheg1238,Albanian,Eurasia,41.0,20.0,gheg1238,aln,alb,Albanian,Indo-European,Europe,W_&_SW_Eurasia,ow,eur,no,Newmark1982[135-137],"Newmark, Hubbard and Prifti 1982: 135-137"
aleu1260,Aleut,North America,54.0,-166.0,aleu1260,ale,ale,Aleut,Eskimo-Aleut,N_Coast_Asia,NC_Asia,nw,nw,yes,Merchant2008,Merchant 2008
alle1238,Allentiac,South America,-31.0,-68.0,alle1238,,alc,Huarpe,Huarpe,Andean,S_America,nw,nw,yes,Adelaar2004[544-549],Adelaar 2004: 544-549
alse1251,Alsea,North America,44.66667,-123.91667,alse1251,aes,als,Alsea,Oregon Coast,Alaska-Oregon,W_N_America,nw,nw,yes,Buckley1989;Mithun2001[341-343],"Buckley 1989, Mithun 2001: 341-343"
alun1238,Alune,Papunesia,-3.0,128.33333,alun1238,alp,aln,Central Malayo-Polynesian,Austronesian,Oceania,NG_&_Oceania,pac,pac,yes,Florey2001,Florey 2001
aman1265,Amanab,Papunesia,-3.58333,141.25,aman1265,amn,amn,Border,Border,N_Coast_New_Guinea,NG_&_Oceania,pac,pac,yes,Minch1992,Minch 1992
ambu1247,Ambulas,Papunesia,-3.83333,143.0,ambu1247,abt,amb,Middle Sepik,Sepik,N_Coast_New_Guinea,NG_&_Oceania,pac,pac,yes,"Nichols1992;Wilson1980[27, 28, 117]","Wilson 1980: 27, 28, 117, Nichols 1992"
amel1241,Amele,Papunesia,-5.25,145.58333,amel1241,aey,ame,Madang,Trans-New Guinea,N_Coast_New_Guinea,NG_&_Oceania,pac,pac,yes,"Roberts1987[67, 68, 72, 161, 162]","Roberts 1987: 67, 68, 72, 161, 162"
amha1245,Amharic,Africa,10.0,38.0,amha1245,amh,amh,Semitic,Afro-Asiatic,Greater_Abyssinia,Africa,ow,afr,no,Konig2008a[90];Leslau1995[181-182],"König 2008a: 90, Leslau 1995: 181-182"
amis1246,Amis,Papunesia,23.33,121.33,amis1246,ami,ami,East Formosan,Austronesian,Southeast_Asia,S_&_SE_Asia,pac,pac,yes,"Wu2006[78-85, 99-107]","Wu 2006: 78-85, 99-107"
guer1243,Amuzgo,North America,16.83333,-98.0,guer1243,amu,amz,Amuzgoan,Oto-Manguean,Mesoamerica,C_America,nw,nw,yes,Stewart2000[416-417],Stewart and Stewart 2000: 416-417
ando1256,Andoke,South America,-0.66667,-72.0,ando1256,ano,adk,Andoke,Andoke,NE_South_America,S_America,nw,nw,yes,Landaburu1976[94-95],Landaburu 1976: 94-95
anem1249,Anêm,Papunesia,-5.58333,149.08333,anem1249,anz,ane,Anêm,Anêm,N_Coast_New_Guinea,NG_&_Oceania,pac,pac,yes,Thurston1982,Thurston 1982
ango1254,Anggor,Papunesia,-3.75,141.16667,ango1254,agg,ang,Senagi,Senagi,N_Coast_New_Guinea,NG_&_Oceania,pac,pac,yes,,"Litteral 2003: 51-57, 97"
anin1240,Anindilyakwa,Australia,-14.0,136.5,anin1240,aoi,ann,Anindilyakwa,Australian,N_Australia,Australia,pac,pac,yes,Leeding1989[302],Leeding 1989: 302
ansu1237,Ansus,Papunesia,-1.75,135.87,ansu1237,and,,South Halmahera - West New Guinea,Austronesian,N_Coast_New_Guinea,NG_&_Oceania,pac,pac,yes,Donohue2005b[529],Donohue 2005b: 529
apur1254,Apurinã,South America,-9.0,-67.0,apur1254,apu,apu,Purus,Arawakan,NE_South_America,S_America,nw,nw,yes,SilvaFacundes2000[290],Facundes 2000: 290
arab1268,Arabela,South America,-2.0,-75.16667,arab1268,arl,arb,Zaparoan,Zaparoan,NE_South_America,S_America,nw,nw,yes,"Rich1999[26, 34-39, 57-58, 81]","Rich 1999: 26, 34-39, 57-58, 81"
egyp1253,Arabic (Egyptian),Africa,30.0,31.0,egyp1253,arz,aeg,Semitic,Afro-Asiatic,N_Africa,Africa,ow,afr,no,Comrie2013;Jelinek2002,"Comrie 2005, Jelinek 2002"
arao1248,Araona,South America,-12.33333,-67.75,arao1248,aro,ana,Tacanan,Tacanan,NE_South_America,S_America,nw,nw,yes,Comrie2013;Pitman1980[14],"Pitman 1980: 14, Comrie 2005"
buki1249,Arapesh (Mountain),Papunesia,-3.46667,143.16667,buki1249,ape,arp,Kombio-Arapesh,Torricelli,N_Coast_New_Guinea,NG_&_Oceania,pac,pac,yes,Conrad1991,Conrad and Wogiga 1991
araw1276,Arawak,South America,5.5,-55.16667,araw1276,arw,ara,Northern Arawakan,Arawakan,NE_South_America,S_America,nw,nw,yes,"Pet1987[3, 23, 24, 45, 48]","Pet 1987: 3, 23, 24, 45, 48"
nucl1235,Armenian (Western),Eurasia,38.5,43.5,nucl1235,hye,arw,Armenian,Indo-European,Greater_Mesopotamia,W_&_SW_Eurasia,ow,eur,no,"Kogian1949[33, 34]","Kogian 1949: 33, 34"
tamn1235,Asmat,Papunesia,-5.5,138.5,tamn1235,tml,asm,Asmat-Kamoro,Trans-New Guinea,S_New_Guinea,NG_&_Oceania,pac,pac,yes,Nichols1992,Nichols 1992
assa1263,Assamese,Eurasia,26.0,93.0,assa1263,asm,ass,Indic,Indo-European,Indic,S_&_SE_Asia,ow,eur,no,Goswami2003[432-433];Masica1991,"Goswami and Tamuli 2003: 432-433, Masica 1991"
