ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,WALS_code,Genus,Family,Area,Continent,Macrocontinent,Macrocontinent_SplitOldWorld,Circumpacific,Source,Source_prose
toca1235,Asuriní,South America,-3.5,-49.5,toca1235,asu,asu,Tupi-Guaraní,Tupian,NE_South_America,S_America,nw,nw,yes,"Harrison1970[6, 119, 143, 156-157];Harrison1975[12]","Harrison 1970: 6, 119, 143, 156-157, Harrison 1975: 12"
kunz1244,Atacameño,South America,-23.0,-69.0,kunz1244,kuz,atm,Kunza,Kunza,Andean,S_America,nw,nw,yes,Adelaar2004[375-385],Adelaar 2004: 375-385
atak1252,Atakapa,North America,30.0,-93.5,atak1252,aqp,atk,Atakapa,Atakapa,E_North_America,E_N_America,nw,nw,yes,Swanton1929[125-127],Swanton 1929: 125-127
atay1247,Atayal,Papunesia,24.5,121.33333,atay1247,tay,ata,Atayalic,Austronesian,Southeast_Asia,S_&_SE_Asia,ow,eur,no,Huang1995;Rau1992[139-140],"Rau 1992: 139-140, Huang 1995"
atoh1238,Atohwaim,Papunesia,-6.27,138.67,atoh1238,aqm,,Kayagar,Kayagar,S_New_Guinea,NG_&_Oceania,pac,pac,yes,Voorhoeve1975[368],Voorhoeve 1975: 368
atsu1245,Atsugewi,North America,40.75,-121.0,atsu1245,atw,ats,Palaihnihan,Hokan,Basin_and_Plains,W_N_America,nw,nw,yes,Mithun2001[471-472],Mithun 2001: 471-472
auuu1241,Au,Papunesia,-3.58333,142.08333,auuu1241,avt,au,Wapei-Palei,Torricelli,N_Coast_New_Guinea,NG_&_Oceania,pac,pac,yes,"Scorza1985[245-249, 259-]","Scorza 1985: 245-249, 259-"
avar1256,Avar,Eurasia,42.5,46.5,avar1256,ava,ava,Avar-Andic-Tsezic,Nakh-Daghestanian,Greater_Mesopotamia,W_&_SW_Eurasia,ow,eur,no,Charachidze1981[37];vandenBerg2005,"van den Berg 2005, Charachidzé 1981: 37"
avok1242,Avokaya,Africa,4.66667,30.0,avok1242,avu,avo,Moru-Ma'di,Nilo-Saharan,African_Savannah,Africa,ow,afr,no,Kilpatrick1981,Kilpatrick 1981
awac1239,Awa Pit,South America,1.5,-78.25,awac1239,kwi,awp,Barbacoan,Barbacoan,Andean,S_America,nw,nw,yes,Comrie2013;Curnow1997[65],"Curnow 1997: 65, Comrie 2005"
awng1244,Awngi,Africa,10.83333,36.66667,awng1244,awn,awn,Central Cushitic,Afro-Asiatic,Greater_Abyssinia,Africa,ow,afr,no,Appleyard1988;Hetzron1978;Konig2008a[89],"König 2008a: 89, Hetzron 1978, Appleyard 1988"
awtu1239,Awtuw,Papunesia,-3.58333,142.0,awtu1239,kmn,awt,Ram,Sepik,N_Coast_New_Guinea,NG_&_Oceania,pac,pac,yes,Feldman1986[107-111];Malchukov2008;Nichols1992,"Feldman 1986: 107-111, Malchukov 2008, Nichols 1992"
ayiw1239,Ayiwo,Papunesia,-10.33333,166.25,ayiw1239,nfl,ayw,Oceanic,Austronesian,Oceania,NG_&_Oceania,pac,pac,yes,Wurm1992[155-],Wurm 1992: 155-
nucl1667,Aymara,South America,-17.0,-69.0,nucl1667,ayc,aym,Aymaran,Aymaran,Andean,S_America,nw,nw,yes,Bossong1989;Comrie2013,"Bossong 1989, Comrie 2005"
ayor1240,Ayoreo,South America,-20.25,-59.25,ayor1240,ayo,ayr,Zamucoan,Zamucoan,SE_South_America,S_America,nw,nw,yes,Adelaar2004[496-497],Adelaar 2004: 496-497
sout2697,Azerbaijani,Eurasia,40.5,48.5,sout2697,azb,aze,Turkic,Altaic,Greater_Mesopotamia,W_&_SW_Eurasia,ow,eur,no,Kornfilt2009;Schoenig1998[251],"Kornfilt and von Heusinger 2009, Schönig 1998: 251"
veng1238,Babungo,Africa,6.11667,10.41667,veng1238,bav,bab,Bantoid,Niger-Congo,African_Savannah,Africa,ow,afr,no,"Schaub1985[193, 194]","Schaub 1985: 193, 194"
bagi1246,Bagirmi,Africa,11.66667,16.0,bagi1246,bmi,bag,Bongo-Bagirmi,Nilo-Saharan,African_Savannah,Africa,ow,afr,no,"Stevenson1969[37, 31-38, 82-88]","Stevenson 1969: 37, 31-38, 82-88"
furu1242,Bagiro,Africa,4.33333,20.58333,furu1242,fuu,bgr,Bongo-Bagirmi,Nilo-Saharan,S_Africa,Africa,ow,afr,no,Boyeldieu2000,Boyeldieu 2000
bagv1239,Bagvalal,Eurasia,42.58333333,46.16666667,bagv1239,kva,bgv,Avar-Andic-Tsezic,Nakh-Daghestanian,Greater_Mesopotamia,W_&_SW_Eurasia,ow,eur,no,Corbett2006[749-750],Corbett 2006: 749-750
cent2004,Bai,Eurasia,26.0,100.0,cent2004,bca,bai,Bai,Sino-Tibetan,Southeast_Asia,S_&_SE_Asia,ow,eur,no,LaPolla1994;Wiersma1990[184];Wiersma2003,"Wiersma 1990: 184, LaPolla 1994, Wiersma 2003"
indo1317,Bajau (Sama),Papunesia,-4.33333,123.0,indo1317,bdl,baj,Sama-Bajaw,Austronesian,Oceania,NG_&_Oceania,ow,eur,no,Donohue1999;Miller2007,"Miller 2007, Donohue and Brown 1999"
bali1280,Bali-Vitu,Papunesia,-4.9,149.11667,bali1280,bbn,bvi,Oceanic,Austronesian,N_Coast_New_Guinea,NG_&_Oceania,pac,pac,yes,vandenBerg2006,van den Berg and Bachet 2006
bamb1269,Bambara,Africa,12.5,-7.5,bamb1269,bam,bam,Western Mande,Niger-Congo,African_Savannah,Africa,ow,afr,no,"Dumestre2003[38, 39, 179-184];Heath2007","Dumestre 2003: 38, 39, 179-184, Heath 2007"
bani1255,Baniwa,South America,2.66667,-66.83333,bani1255,bwi,bnw,Northern Arawakan,Arawakan,NE_South_America,S_America,nw,nw,yes,Mosonyi2000b[202],Mosonyi et al 2000b: 202
bara1377,Barai,Papunesia,-9.33333,148.08333,bara1377,bbb,baa,Koiarian,Trans-New Guinea,S_New_Guinea,NG_&_Oceania,pac,pac,yes,VanValin1997[313-317],Van Valin and LaPolla 1997: 313-317
bara1380,Barasano,South America,-0.16667,-70.66667,bara1380,bsn,brs,Tucanoan,Tucanoan,NE_South_America,S_America,nw,nw,yes,Comrie2013;Jones1991[65],"Jones and Jones 1991: 65, Comrie 2005"
bare1276,Baré,South America,1.0,-67.0,bare1276,bae,bae,Northern Arawakan,Arawakan,NE_South_America,S_America,nw,nw,yes,Aikhenvald2007[851],Aikhenvald 2007: 851
bari1284,Bari,Africa,5.0,31.66667,bari1284,bfa,bar,Nilotic,Nilo-Saharan,African_Savannah,Africa,ow,afr,no,"Spagnolo1933[55, 104-105, 80]","Spagnolo 1933: 55, 104-105, 80"
bari1297,Bari (Chibchan),South America,9.08,-72.94,bari1297,mot,,Chibchan Proper,Chibchan,NE_South_America,S_America,nw,nw,yes,Quesada2004[366-373],Quesada 2004: 366-373
bash1264,Bashkir,Eurasia,53.0,58.0,bash1264,bak,bsk,Turkic,Altaic,Inner_Asia,NC_Asia,ow,eur,no,Poppe1964[35-],Poppe 1997: 35-
bask1236,Basketo,Africa,6.46,36.58,bask1236,bst,,North Omotic,Afro-Asiatic,Greater_Abyssinia,Africa,ow,afr,no,Konig2008a[90],König 2008a: 90
basq1248,Basque,Eurasia,43.0,-3.0,basq1248,eus,bsq,Basque,Basque,Europe,W_&_SW_Eurasia,ow,eur,no,Comrie2013;Hualde2003[171-181],"Hualde and Ortiz de Urbina 2003: 171-181, Comrie 2005"
bauz1241,Bauzi,Papunesia,-2.5,137.5,bauz1241,bvz,bzi,East Geelvink Bay,East Geelvink Bay,Interior_New_Guinea,NG_&_Oceania,pac,pac,yes,Briley1997[25-32],Briley 1997: 25-32
bawm1236,Bawm,Eurasia,22.5,92.25,bawm1236,bgr,baw,Kuki-Chin,Sino-Tibetan,Indic,S_&_SE_Asia,ow,eur,no,Comrie2013;Reichle1981[24-28],"Reichle 1981: 24-28, Comrie 2005"
idaa1241,Begak-Ida'an,Papunesia,5.25,118.83333,idaa1241,dbj,beg,North Borneo,Austronesian,Southeast_Asia,S_&_SE_Asia,ow,eur,no,Goudswaard2005[125-],Goudswaard 2005: 125-
beja1238,Beja,Africa,18.0,36.0,beja1238,bej,bej,Beja,Afro-Asiatic,N_Africa,Africa,ow,afr,no,"Hudson1974[115, 118-121]","Hudson 1974: 115, 118-121"
belh1239,Belhare,Eurasia,26.96667,87.3,belh1239,byw,bel,Mahakiranti,Sino-Tibetan,Indic,S_&_SE_Asia,ow,eur,no,Bickel2003;Bickel2011,"Bickel (to appear), Bickel 2003"
bell1243,Bella Coola,North America,52.5,-126.66667,bell1243,blc,bco,Bella Coola,Salishan,Alaska-Oregon,W_N_America,nw,nw,yes,"Nater1984[37, 38, 42]","Nater 1985: 37, 38, 42"
bela1254,Belorussian,Eurasia,54.0,28.0,bela1254,bel,blr,Slavic,Indo-European,Inner_Asia,NC_Asia,ow,eur,no,Mayo2002[914],Mayo 2002: 914
cent2194,Berber (Middle Atlas),Africa,33.0,-5.0,cent2194,tzm,bma,Berber,Afro-Asiatic,N_Africa,Africa,ow,afr,no,Penchoen1973,Penchoen 1973
tari1263,Berber (Rif),Africa,34.5,-4.0,tari1263,rif,brf,Berber,Afro-Asiatic,N_Africa,Africa,ow,afr,no,Kossmann2000[23],Kossmann 2000: 23
beri1254,Berik,Papunesia,-2.25,138.83333,beri1254,bkl,brk,Tor,Tor-Orya,N_Coast_New_Guinea,NG_&_Oceania,pac,pac,yes,"Westrum1988[141, 144-145, 150-, 166-167]","Westrum 1988: 141, 144-145, 150-, 166-167"
bert1248,Berta,Africa,10.33333,34.66667,bert1248,wti,ber,Berta,Nilo-Saharan,Greater_Abyssinia,Africa,ow,afr,no,Andersen1995[41-44],Andersen 1995: 41-44
beto1236,Betoi,South America,7.16667,-71.25,beto1236,,bti,Betoi,Betoi,NE_South_America,S_America,nw,nw,yes,Zamponi2003[20-25],Zamponi 2003: 20-25
biak1248,Biak,Papunesia,-1.0,136.0,biak1248,bhw,bik,South Halmahera - West New Guinea,Austronesian,N_Coast_New_Guinea,NG_&_Oceania,pac,pac,yes,"Heuvel2006[283, 284]","Heuvel 2006: 283, 284"
bili1260,Bilin,Africa,15.75,38.5,bili1260,byn,bln,Central Cushitic,Afro-Asiatic,Greater_Abyssinia,Africa,ow,afr,no,Konig2008a[89];Tucker1966[514],"Tucker and Bryan 1966: 514, König 2008a: 89"
bilu1245,Bilua,Papunesia,-7.75,156.66667,bilu1245,blb,bil,Bilua,Solomons East Papuan,Oceania,NG_&_Oceania,pac,pac,yes,"Todd1975[812, 814]","Todd 1975: 812, 814"
gunw1252,Bininj Gun-Wok,Australia,-12.5,133.75,gunw1252,gup,bbw,Gunwinygic,Australian,N_Australia,Australia,pac,pac,yes,Evans2003b[389-417],Evans 2003b: 389-417
bero1242,Birom,Africa,9.66667,8.83333,bero1242,bom,bir,Platoid,Niger-Congo,African_Savannah,Africa,ow,afr,no,"Bouquiaux1970[123, 129, 135, 165, 298-305, 343, 348]","Bouquaix 1970: 123, 129, 135, 165, 298-305, 343, 348"
damu1236-bokar,Bokar,Eurasia,28.5,94.66667,damu1236,adi,boq,Tani,Sino-Tibetan,Indic,S_&_SE_Asia,ow,eur,no,Post2008[724],Post 2008: 724
boko1266,Boko,Africa,10.5,3.5,boko1266,bqc,bok,Eastern Mande,Niger-Congo,African_Savannah,Africa,ow,afr,no,"Jones1998[139, 173, 274]","Jones 1998: 139, 173, 274"
bora1263,Bora,South America,-2.16667,-72.33333,bora1263,boa,bor,Boran,Huitotoan,NE_South_America,S_America,nw,nw,yes,Thiesen1996,Thiesen 1996
boro1282,Bororo,South America,-16.0,-57.0,boro1282,bor,brr,Bororo,Macro-Ge,NE_South_America,S_America,nw,nw,yes,"Crowell1979[21-22, 206-, 250]","Crowell 1979: 21-22, 206-, 250"
boru1252,Boruca,North America,8.83333,-83.25,boru1252,brn,brc,Talamanca,Chibchan,Mesoamerica,C_America,nw,nw,yes,"Quesada2000a[73, 77]","Quesada 2000a: 73, 77"
brah1256,Brahui,Eurasia,28.5,67.0,brah1256,brh,brh,Northern Dravidian,Dravidian,Indic,S_&_SE_Asia,ow,eur,no,"Andronov1980[36-38, 56-58]","Andronov 1980: 36-38, 56-58"
bret1244,Breton,Eurasia,48.0,-3.0,bret1244,bre,bre,Celtic,Indo-European,Europe,W_&_SW_Eurasia,ow,eur,no,"Wmffre1998a[13, 36-38]","Wmffre 1998a: 13, 36-38"
brib1243,Bribri,North America,9.41667,-83.0,brib1243,bzd,bri,Talamanca,Chibchan,Mesoamerica,C_America,nw,nw,yes,BobilloNoYear;Comrie2013,"Bobillo et al (no year), Comrie 2005"
budu1265,Buduma,Africa,13.5,14.5,budu1265,bdm,bud,Biu-Mandara,Afro-Asiatic,African_Savannah,Africa,ow,afr,no,"Lukas1939[34-36, 50-51, 53]","Lukas and Nachtigal 1939: 34-36, 50-51, 53"
buga1247,Bugan,Eurasia,23.61,104.96,buga1247,bbh,,Bugan,Austro-Asiatic,Southeast_Asia,S_&_SE_Asia,ow,eur,no,Li2006b,Li 2006b
bura1267,Burarra,Australia,-12.25,134.58333,bura1267,bvr,bua,Burarran,Australian,N_Australia,Australia,pac,pac,yes,Glasgow1988,Glasgow 1988
mong1330,Buriat,Eurasia,52.0,108.0,mong1330,bxm,but,Mongolic,Altaic,Inner_Asia,NC_Asia,ow,eur,no,Comrie1981[87];Skribnik2003[108-109],"Comrie 1981: 87, Skribnik 2003: 108-109"
nucl1310,Burmese,Eurasia,21.0,96.0,nucl1310,mya,brm,Burmese-Lolo,Sino-Tibetan,Southeast_Asia,S_&_SE_Asia,ow,eur,no,Soe1999[],"Soe 1999: chapter 5, Comrie 2005"
buru1296,Burushaski,Eurasia,36.5,74.5,buru1296,bsk,bur,Burushaski,Burushaski,Indic,S_&_SE_Asia,ow,eur,no,Comrie2013;Wilson1996[9-10],"Wilson 1996: 9-10, Comrie 2005"
busa1253,Busa,Africa,9.66667,4.0,busa1253,bqp,bus,Eastern Mande,Niger-Congo,African_Savannah,Africa,ow,afr,no,"Jones1998[139, 173, 274]","Jones 1998: 139, 173, 274"
cacu1241,Cacua,South America,1.08333,-70.0,cacu1241,cbv,cac,Cacua-Nukak,Cacua-Nukak,NE_South_America,S_America,nw,nw,yes,Bolanos2016;Martins1999[263],"Martins and Martins 1999: 263, Bolaños 2016"
cahu1264,Cahuilla,North America,33.5,-116.25,cahu1264,chl,cah,Takic,Uto-Aztecan,California,W_N_America,nw,nw,yes,"Comrie2013;Sauvel1981[59, 89]","Sauvel and Munro 1981: 59, 89, Comrie 2005"
asha1243,Campa (Axininca),South America,-12.0,-74.0,asha1243,cni,cax,Pre-Andine Arawakan,Arawakan,Andean,S_America,nw,nw,yes,Patte1993[120],Patte 1993: 120
cams1241,Camsá,South America,1.16667,-77.0,cams1241,kbh,cam,Camsá,Camsá,Andean,S_America,nw,nw,yes,Howard1977,Howard 1977
kana1291,Canamarí,South America,-6.5,-68.5,kana1291,knm,cnm,Katukinan,Katukinan,NE_South_America,S_America,nw,nw,yes,"Groth1988[60, 66]","Groth 1988: 60, 66"
cand1248,Candoshi,South America,-4.16667,-77.0,cand1248,cbu,can,Candoshi,Candoshi,Andean,S_America,nw,nw,yes,Wise1999[320],Wise 1999: 320
cane1242,Canela-Krahô,South America,-6.0,-46.0,cane1242,ram,ckr,Ge-Kaingang,Macro-Ge,NE_South_America,S_America,nw,nw,yes,Popjes1986[129-130],Popjes and Popjes 1986: 129-130
yuec1235,Cantonese,Eurasia,23.0,113.0,yuec1235,yue,cnt,Chinese,Sino-Tibetan,Southeast_Asia,S_&_SE_Asia,ow,eur,no,"Matthews1994[79, 80, 128]","Matthews and Yip 1994: 79, 80, 128"
gali1262,Carib,South America,5.5,-56.0,gali1262,car,car,Cariban,Cariban,NE_South_America,S_America,nw,nw,yes,"Courtz2008[83, 138]","Courtz 2008: 83, 138"
maqu1238,Carib (De'kwana),South America,5.5,-65.0,maqu1238,mch,cde,Cariban,Cariban,NE_South_America,S_America,nw,nw,yes,"Hall1988[42, 46, 151]","Hall 1988: 42, 46, 151"
cash1254,Cashinahua,South America,-10.5,-71.83333,cash1254,cbs,csh,Panoan,Panoan,NE_South_America,S_America,nw,nw,yes,Montag1981;Nichols1992,"Montag 1981, Nichols 1992"
cavi1250,Cavineña,South America,-13.33333,-66.5,cavi1250,cav,cav,Tacanan,Tacanan,NE_South_America,S_America,nw,nw,yes,"Comrie2013;Guillaume2006[161, 162]","Guillaume 2006: 161, 162, Comrie 2005"
cayu1262,Cayuvava,South America,-13.5,-65.5,cayu1262,cyb,cyv,Cayuvava,Cayuvava,NE_South_America,S_America,nw,nw,yes,Key1967[28-33],Key 1967: 28-33
east2563,Cham (Eastern),Eurasia,11.33333,108.5,east2563,cjm,cme,Malayo-Sumbawan,Austronesian,Southeast_Asia,S_&_SE_Asia,ow,eur,no,Thurgood2005,Thurgood 2005
cham1312,Chamorro,Papunesia,13.45,144.75,cham1312,cha,cha,Chamorro,Austronesian,Oceania,NG_&_Oceania,pac,pac,yes,"Cooreman1987[25, 26, 34-35];Topping1973[203]","Cooreman 1987: 25, 26, 34-35, Topping 1973: 203"
west2644,Chatino (Yaitepec),North America,16.25,-97.25,west2644,ctp,cya,Zapotecan,Oto-Manguean,Mesoamerica,C_America,nw,nw,yes,Rasch2002[127-128],Rasch 2002: 127-128
chay1248,Chayahuita,South America,-5.5,-77.0,chay1248,cbt,chy,Cahuapanan,Cahuapanan,Andean,S_America,nw,nw,yes,"Hart1988[271, 272, 286, 478, 488];Wise1999","Hart 1988: 271, 272, 286, 478, 488, Wise 1999"
