ID,Language_ID,Parameter_ID,Value,Code_ID,Comment,Source
xooo1239-wordorderbinned5,xooo1239,wordorderbinned5,SVO,wordorderbinned5-svo,,
xooo1239-wordorderso,xooo1239,wordorderso,yes,wordorderso-yes,,
xooo1239-wordorderbinned7,xooo1239,wordorderbinned7,SVO,wordorderbinned7-svo,,
xooo1239-wordordersfirst,xooo1239,wordordersfirst,yes,wordordersfirst-yes,,
xooo1239-morphmarking,xooo1239,morphmarking,yes,morphmarking-yes,,
xooo1239-headmarking,xooo1239,headmarking,yes,headmarking-yes,,
xooo1239-dependentmarking,xooo1239,dependentmarking,no,dependentmarking-no,,
hoaa1235-wordorderbinned5,hoaa1235,wordorderbinned5,SVO,wordorderbinned5-svo,,
hoaa1235-wordorderso,hoaa1235,wordorderso,yes,wordorderso-yes,,
hoaa1235-wordorderbinned7,hoaa1235,wordorderbinned7,SVO,wordorderbinned7-svo,,
hoaa1235-wordordersfirst,hoaa1235,wordordersfirst,yes,wordordersfirst-yes,,
hoaa1235-morphmarking,hoaa1235,morphmarking,yes,morphmarking-yes,,
hoaa1235-dependentmarking,hoaa1235,dependentmarking,yes,dependentmarking-yes,,
abau1245-wordorderbinned5,abau1245,wordorderbinned5,V3,wordorderbinned5-v3,,
abau1245-wordorderso,abau1245,wordorderso,yes,wordorderso-yes,,
abau1245-wordorderbinned7,abau1245,wordorderbinned7,SOV,wordorderbinned7-sov,,
abau1245-wordordersfirst,abau1245,wordordersfirst,yes,wordordersfirst-yes,,
abau1245-morphmarking,abau1245,morphmarking,yes,morphmarking-yes,,
abau1245-headmarking,abau1245,headmarking,yes,headmarking-yes,,
abau1245-dependentmarking,abau1245,dependentmarking,yes,dependentmarking-yes,,
abip1241-wordorderbinned5,abip1241,wordorderbinned5,SVO,wordorderbinned5-svo,,
abip1241-wordorderso,abip1241,wordorderso,yes,wordorderso-yes,,
abip1241-wordorderbinned7,abip1241,wordorderbinned7,SVO,wordorderbinned7-svo,,
abip1241-wordordersfirst,abip1241,wordordersfirst,yes,wordordersfirst-yes,,
abip1241-morphmarking,abip1241,morphmarking,yes,morphmarking-yes,,
abip1241-headmarking,abip1241,headmarking,yes,headmarking-yes,,
abip1241-dependentmarking,abip1241,dependentmarking,no,dependentmarking-no,,
abkh1244-wordorderbinned5,abkh1244,wordorderbinned5,V3,wordorderbinned5-v3,,
abkh1244-wordorderso,abkh1244,wordorderso,yes,wordorderso-yes,,
abkh1244-wordorderbinned7,abkh1244,wordorderbinned7,SOV,wordorderbinned7-sov,,
abkh1244-wordordersfirst,abkh1244,wordordersfirst,yes,wordordersfirst-yes,,
abkh1244-morphmarking,abkh1244,morphmarking,yes,morphmarking-yes,,
abkh1244-headmarking,abkh1244,headmarking,yes,headmarking-yes,,
abkh1244-dependentmarking,abkh1244,dependentmarking,no,dependentmarking-no,,
abun1252-wordorderbinned5,abun1252,wordorderbinned5,SVO,wordorderbinned5-svo,,
abun1252-wordorderso,abun1252,wordorderso,yes,wordorderso-yes,,
abun1252-wordorderbinned7,abun1252,wordorderbinned7,SVO,wordorderbinned7-svo,,
abun1252-wordordersfirst,abun1252,wordordersfirst,yes,wordordersfirst-yes,,
abun1252-morphmarking,abun1252,morphmarking,no,morphmarking-no,,
abun1252-headmarking,abun1252,headmarking,no,headmarking-no,,
abun1252-dependentmarking,abun1252,dependentmarking,no,dependentmarking-no,,
achi1257-wordorderbinned5,achi1257,wordorderbinned5,nd,wordorderbinned5-nd,,
achi1257-wordorderso,achi1257,wordorderso,no,wordorderso-no,,
achi1257-wordorderbinned7,achi1257,wordorderbinned7,no dom.,wordorderbinned7-nodom,,
achi1257-wordordersfirst,achi1257,wordordersfirst,no,wordordersfirst-no,,
achi1257-morphmarking,achi1257,morphmarking,yes,morphmarking-yes,,
achi1257-headmarking,achi1257,headmarking,yes,headmarking-yes,,
achi1257-dependentmarking,achi1257,dependentmarking,no,dependentmarking-no,,
acha1250-wordorderbinned5,acha1250,wordorderbinned5,SVO,wordorderbinned5-svo,,
acha1250-wordorderso,acha1250,wordorderso,yes,wordorderso-yes,,
acha1250-wordorderbinned7,acha1250,wordorderbinned7,SVO,wordorderbinned7-svo,,
acha1250-wordordersfirst,acha1250,wordordersfirst,yes,wordordersfirst-yes,,
acha1250-morphmarking,acha1250,morphmarking,yes,morphmarking-yes,,
acha1250-headmarking,acha1250,headmarking,yes,headmarking-yes,,
acha1250-dependentmarking,acha1250,dependentmarking,yes,dependentmarking-yes,,
achu1248-wordorderbinned5,achu1248,wordorderbinned5,V3,wordorderbinned5-v3,,
achu1248-wordorderso,achu1248,wordorderso,yes,wordorderso-yes,,
achu1248-wordorderbinned7,achu1248,wordorderbinned7,SOV,wordorderbinned7-sov,,
achu1248-wordordersfirst,achu1248,wordordersfirst,yes,wordordersfirst-yes,,
achu1248-morphmarking,achu1248,morphmarking,yes,morphmarking-yes,,
achu1248-dependentmarking,achu1248,dependentmarking,yes,dependentmarking-yes,,
